Node,X,Y
1,-96.7704197365753,43.6128279173613
2,-96.7112506273174,43.6058129763231
3,-96.7743034116215,43.572961604399
4,-96.7471684296029,43.5636536221047
5,-96.7315690921139,43.5640335679059
6,-96.7116438879263,43.58758552756
7,-96.6934228130443,43.5638435953049
8,-96.711381714187,43.5623237929295
9,-96.7312413749398,43.5485963410129
10,-96.7314380052443,43.5452708822096
11,-96.7468407124287,43.5441306826723
12,-96.7801367773211,43.5439406473194
13,-96.7933765511563,43.4907071825455
14,-96.7510354922577,43.529306126208
15,-96.7315035486791,43.5294011670225
16,-96.711381714187,43.546743608027
17,-96.711381714187,43.5412800894784
18,-96.6940782473925,43.546743608027
19,-96.7113161707522,43.5295912482023
20,-96.7111850838826,43.5153334974049
21,-96.7309792012005,43.5104850945585
22,-96.7312413749398,43.5148581810143
23,-96.750904405388,43.5148581810143
24,-96.7492002760825,43.503164218941
